Category,Box Name,Product1,Product2,Product3,Product4,Product5
Core,SOS Burn-out,Spray anti-stress,Carnet d’alerte,Accès téléconsultation psy,Bande de résistance détente,Diffuseur huiles essentielles
Core,Deep Sleep,Tisane verveine-mélisse,Masque nuit soie,Roll-on CBD,Bandeau audio méditation,Carte respiration 4‑7‑8
Core,Stress Release,Balle anti-stress,Huile essentielle lavande,Audio sophro guidée,Kit automassage,Bracelet acupression
Core,Resilience Reboot,Cartes résilience,Journal 3 gratitudes,Bracelet ancrage,Mini‑guide résilience,Bougie bois de santal
Core,Mindful Reset,Cartes mindfulness,Encens doux,Timer méditation,Bloc‑notes body scan,Tapis mini méditation
Core,Balance & Flow,Planner weekly flow,Infusion maté,Élastique yoga,Cheat‑sheet Pomodoro,Stick menthe fraîche
Core,Energy Booster,Shot gingembre,Snacks protéinés,Playlist pump‑up QR,Gourde inox,Mini corde à sauter
Core,Focus & Grow,Carnet OKR,Thé vert sencha,Bouchons anti‑bruit,Timer cube focus,Crayon graine
Core,Passion Spark,Kit hobby peinture,E‑book mentorat,Badges motivation,Poster vision board,Set aquarelle voyage
Core,Leadership Luminary,Voucher coaching 1 h,Cartes gratitude,Médaille ambassadeur,Livre leadership,Carnet feedback 360
Parent,Parent SOS,Baume rescue,Hotline psy,Tisane calmante,Carte gestion colère,Patch chauffant nuque
Parent,Sleepy Household,Tisane nuit,Veilleuse ambre,Jeu rituel coucher,Masque nuit enfant,Huile orange douce
Parent,Calm & Connect,Cartes écoute active,Coussin respiration,Cahier météo émotionnelle,Bâton Palo Santo,Fidget cube
Parent,Time Juggler,Planner magnétique,Magnets tâches,Timer sablier,Bracelet anti‑lumière,Checklist ménage
Parent,Digital Balance,Timer sablier 10 min,Pochette téléphones,Cartes activités offline,Affiche règles écrans,Stickers défi
Parent,Energy Family,Shots vitamine C,Cartes gym 5′,Bouteilles eau,Bande fitness,Podcast énergie QR
Parent,Positive Parenting,Carnet compliments,Stickers récompense,Affiche charte,Bracelet mantra,Jeu devinettes
Parent,Growth Together,Kit jardinage urbain,Graines basilic,Carnet projets,Mini outils,Tuto vidéo QR
Parent,Mindful Teens Talk,Podcast ado‑parent,Journal duo,Cartes dilemmes,Badge safe space,Livret expression
Parent,Celebrate Us,Bon séance photo,Confettis écolos,Album DIY,Bougie célébration,Carte trophée
